fips,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute
41051004500,Census Tract 45,2148,3621.364,0.593146763614349,1882,0,32,87,17,22,108,87.62,0,1.49,4.05,0.79,1.02,5.03,57,140,290,596,271,195,102,3.45,8.48,17.57,36.1,16.41,11.81,6.18,1.27,67159,14.51,80.41,17.63,23.42,17.72,1.87,0.71,9.88,6.5,63077,0.5391,41.67,1081,29.119999999999997,24.75,17.810000000000002,28.32,36.85,37.8,9.18,16.17
41051004601,Census Tract 46.01,3195,2331.433,1.37040210224912,2844,8,36,150,0,20,137,89.01,0.25,1.13,4.69,0,0.63,4.29,51,131,273,1140,521,420,116,1.92,4.94,10.29,42.99,19.65,15.84,4.37,2.16,107344,22.08,74.56,22.08,53.93,32.36,0.51,0,14.02,3.43,82356,0.4558,76.78,1086,14.27,19.41,20.43,45.870000000000005,43,34.06,4.75,18.19
41051004602,Census Tract 46.02,2046,3740.145,0.547037669672601,1872,0,0,79,0,19,76,91.5,0,0,3.86,0,0.93,3.71,43,27,186,486,439,234,83,2.87,1.8,12.42,32.44,29.31,15.62,5.54,5.71,136058,16.19,77.73,29.05,57.86,22.39,0,0.8,14.7,8.84,99309,0.541,84.73,1240,17.68,12.510000000000002,14.81,55,54.67,24.34,6.19,14.81
41051004700,Census Tract 47,4782,17570.18,0.272165739764045,4326,54,1,170,0,146,85,90.46,1.13,0.02,3.55,0,3.05,1.78,26,243,654,1748,879,385,256,0.62,5.8,15.6,41.71,20.97,9.19,6.11,5.32,78750,9.32,88.38,10.62,36.12,13.27,1.88,4.33,6.52,7.86,79946,0.5889,28.91,1116,30.330000000000002,18.52,24.43,26.72,39.25,42.379999999999995,10.280000000000001,8.09
41051004800,Census Tract 48,2959,25796.05,0.114707481270183,2468,42,54,35,0,54,306,83.41,1.42,1.82,1.18,0,1.82,10.34,85,74,522,1334,411,100,133,3.2,2.78,19.63,50.17,15.46,3.76,5,6.13,42060,22.67,76.22,14.98,18.12,16.19,7.64,1.5,7.64,11.74,51088,0.5715,18.9,1017,46.49,23.83,14.600000000000001,15.080000000000002,49.46,31.81,10.61,8.12
41051004900,Census Tract 49,3534,16774.95,0.210671246353265,2777,265,0,197,7,51,237,78.58,7.5,0,5.57,0.2,1.44,6.71,46,374,787,1250,484,153,101,1.44,11.71,24.63,39.12,15.15,4.79,3.16,7.21,36979,30.09,67.17,11.09,22.52,27.62,4.44,4.48,8.38,13.94,43425,0.5342,12.86,924,52.669999999999995,20.28,16.759999999999998,10.28,37.05,43.849999999999994,15.75,3.35
41051005e3,Census Tract 50,2929,10225.79,0.286432601232129,2573,37,0,268,0,0,51,87.85,1.26,0,9.15,0,0,1.74,41,40,409,1282,491,277,109,1.55,1.51,15.44,48.4,18.54,10.46,4.11,6.92,97095,7.79,88.63,16.36,29.44,9.5,0.99,0.52,3.48,9.92,75490,0.434,31.41,1664,19.64,19.42,29.59,31.36,41.900000000000006,38.18,7.179999999999999,12.73
41051005100,Census Tract 51,7444,17520.99,0.424861814031571,6237,424,18,321,0,136,308,83.79,5.7,0.24,4.31,0,1.83,4.14,203,527,1743,2292,1450,377,121,3.02,7.85,25.96,34.14,21.6,5.62,1.8,8.31,57417,25.25,73.18,12.39,25.19,27.22,5.13,2.69,12.78,3.63,62186,0.5537,27.92,984,44.11,12.72,19.84,23.340000000000003,41.29,32.25,14.46,12
41051005200,Census Tract 52,4505,18610.54,0.24206714471264,3688,199,22,293,18,80,205,81.86,4.42,0.49,6.5,0.4,1.78,4.55,144,328,1121,1259,533,125,230,3.85,8.77,29.97,33.66,14.25,3.34,6.15,8.75,37441,24.47,74.08,10.99,20.49,17.55,5.37,5.14,7.01,8.76,38617,0.5027,11.34,979,51.81,23.73,15.26,9.21,36.22,32.93,19.13,11.71
41051005500,Census Tract 55,2759,19105.03,0.144412252103099,1929,118,0,503,0,32,177,69.92,4.28,0,18.23,0,1.16,6.42,94,241,500,603,295,148,40,4.89,12.55,26.03,31.39,15.36,7.7,2.08,14.15,19331,33.29,64.8,9.49,15.04,25.06,12.59,2.98,3.64,17.42,26168,0.5964,17.24,781,70.34,10.68,11.940000000000001,7.04,47.53,34.25,14.339999999999998,3.87
