qualifying_name,fips,census_tract,total_population,population_density,area,white,black,am_indian,asian,pac_isl,other_race,two_more_races,below_hs,hs_degree,some_college,bachelors_degree,masters_degree,professional_school_degree,doctorate_degree,unemployment_rate,hhs_less_10k,hhs_10k_14999,hhs_15k_19999,hhs_20k_24999,hhs_25k_29999,hhs_30k_34999,hhs_35k_39999,hhs_40k_44999,hhs_45k_49999,hhs_50k_59999,hhs_60k_74999,hhs_75k_99999,hhs_100k_124999,hhs_125k_149999,hhs_150k_199999,hhs_200k_more,med_family_income,med_nonfamily_income,hhs_with_no_earnings,hhs_capital_income,hhs_social_security,hhs_ssi,hhs_public_assistance_income,hhs_retirement_income,renter_occupied_units,owner_occupied_units,10_less_commute,% Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over: Worked At Home_1,Workers 16 Years and Over: Did Not Work At Home: 90 or More Minutes,Workers 16 Years and Over: Did Not Work At Home: 60 to 89 Minutes,Workers 16 Years and Over: Did Not Work At Home: 40 to 59 Minutes,Workers 16 Years and Over: Did Not Work At Home: 30 to 39 Minutes,Workers 16 Years and Over: Did Not Work At Home: 20 to 29 Minutes,Workers 16 Years and Over: Did Not Work At Home: 10 to 19 Minutes,Workers 16 Years and Over: Did Not Work At Home: Less than 10 Minutes,Workers 16 Years and Over: Did Not Work At Home,Workers 16 Years and Over:_1,no_commute
"Block Group 3, Census Tract 59, Multnomah County, Oregon",410510059003,5900,1050,5642.804,0.186077696112878,90.95,3.14,0,1.05,0,0,4.86,0,4.55,9.52,46.1,25.32,9.42,5.09,4.35,0,0,0,2.2,0,2.2,3.39,2.88,2.71,7.97,13.05,9.83,7.12,8.81,10.17,29.66,123667,134167,12.03,49.49,18.81,7.97,0,9.32,46.61,53.39,5.45,92.12,52,0,17,50,82,281,142,36,608,660,7.88
"Block Group 4, Census Tract 59, Multnomah County, Oregon",410510059004,5900,2040,9601.316,0.212470868590897,62.21,1.03,3.77,5,0,9.02,18.97,3.13,0.89,35.21,37.7,15.02,5.3,2.75,1.72,8.5,1.7,7.8,3.9,6.2,9.4,1.2,4.7,6.3,6.8,9.2,11.3,10.1,6.4,1.7,4.8,50469,45234,10.8,24.9,10.6,2.8,1.8,6.6,81.4,18.6,20.06,96.95,44,0,99,118,191,345,355,289,1397,1441,3.05
"Block Group 1, Census Tract 60.01, Multnomah County, Oregon",410510060011,6001,757,2761.539,0.274122505586898,88.9,2.64,0,6.61,0,0,1.85,2.12,4.4,18.11,37.68,17.94,14.68,5.06,2.39,3.22,6.21,0.92,2.53,10.57,7.82,2.99,4.14,1.61,3.68,8.97,9.89,10.57,7.59,7.59,11.72,72946,42344,18.39,33.79,20.69,0,0.69,9.2,56.78,43.22,15.91,94.21,28,0,10,47,75,106,141,77,456,484,5.79
"Block Group 2, Census Tract 60.01, Multnomah County, Oregon",410510060012,6001,741,1732.523,0.427700051119928,90.15,3.1,0,2.16,0,0,4.59,0.18,0.73,18.69,41.02,14.16,13.79,11.43,5.42,4.79,1.28,4.79,0,0,0,0,1.28,0,0,8.31,9.58,7.67,8.95,18.21,35.14,158750,NA,16.29,45.05,30.99,3.51,3.51,11.18,22.36,77.64,0,91.02,36,0,3,23,56,93,190,0,365,401,8.98
"Block Group 1, Census Tract 60.02, Multnomah County, Oregon",410510060021,6002,2325,4530.724,0.513162995349785,84.17,4.52,0.13,5.68,0,0.56,4.95,0.76,9.02,22.12,37.54,17.35,7.86,5.36,5.98,3.72,3.1,3.1,2.07,1.76,3.51,2.69,1.76,2.38,3.93,8.06,15.29,12.71,11.78,14.05,10.12,97833,54375,22,45.87,29.44,5.48,4.03,23.14,32.33,67.67,5.74,93.16,81,0,10,88,173,315,450,68,1104,1185,6.84
"Block Group 1, Census Tract 61, Multnomah County, Oregon",410510061001,6100,1130,3156.437,0.357998569877544,93.63,0.97,0,2.3,0,0.97,2.12,1.15,4.84,14.52,32.72,25.81,14.17,6.8,5.58,2.85,1.02,1.02,2.04,1.02,0,5.3,2.04,1.22,4.89,6.11,5.7,16.09,7.54,13.24,29.94,135673,112250,21.79,50.71,33.4,5.3,0,25.46,6.52,93.48,6.86,92.19,41,0,6,39,80,137,186,36,484,525,7.81
"Block Group 2, Census Tract 61, Multnomah County, Oregon",410510061002,6100,1085,3996.554,0.271483883323012,94.65,0.28,0.55,1.11,0,0.92,2.49,0,5.2,13.81,42.97,23.95,7.35,6.72,8.64,7.23,4.04,1.06,3.4,3.62,10.43,0.85,0.85,4.68,2.98,7.66,18.09,7.23,6.81,7.02,14.04,78571,32461,19.79,40.21,17.87,1.49,2.13,19.36,37.66,62.34,11.26,87.6,76,0,7,42,117,171,131,69,537,613,12.4
"Block Group 1, Census Tract 62, Multnomah County, Oregon",410510062001,6200,995,3491.652,0.284965412967164,91.26,1.31,0.9,0,1.41,0,5.13,0.71,1.53,25.62,46.4,15.35,6.73,3.66,8.5,1.45,0,0,0,2.65,0,1.69,2.17,6.02,16.14,5.54,14.7,10.84,16.39,10.36,12.05,94464,60972,11.81,46.02,38.55,0,0,28.43,15.66,84.34,6.96,78.72,110,0,0,15,44,117,195,36,407,517,21.28
"Block Group 2, Census Tract 62, Multnomah County, Oregon",410510062002,6200,1051,5995.739,0.175291159650161,82.97,6.37,0,0.95,0,2,7.71,1.27,6.97,21.29,44.23,14.7,8.49,3.04,5.64,6.08,2.25,3.38,0,4.28,3.6,0,0,2.93,9.01,14.41,10.14,13.29,6.08,10.81,13.74,77368,53482,11.49,32.66,29.5,0.68,5.41,18.02,15.99,84.01,6.45,91.98,51,11,16,10,107,177,223,41,585,636,8.02
"Block Group 3, Census Tract 62, Multnomah County, Oregon",410510062003,6200,1204,5368.979,0.22425123205204,93.77,2.24,0,0,0,0,3.99,1.27,9.22,28.8,34.91,14.75,8.06,3,11.67,0,0,0,0,3.97,5.65,4.6,2.09,0,7.74,5.23,31.59,14.44,13.18,2.09,9.41,95465,83796,5.44,36.61,15.9,0,0,11.92,33.47,66.53,8.81,96.16,27,10,0,68,125,251,161,62,677,704,3.84
