OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount,cent_x,cent_y,dist,long,lat,order,piece,group,COUNTYFP,TRACTCE,AFFGEOID,NAME,LSAD,Census Tract,Total Population,Population Density (Per Sq. Mile),"Area (Land, in Sq. Miles)",Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,% Total Population: White Alone,% Total Population: Black or African American Alone,% Total Population: American Indian and Alaska Native Alone,% Total Population: Asian Alone,% Total Population: Native Hawaiian and Other Pacific Islander Alone,% Total Population: Some Other Race Alone,% Total Population: Two or More Races,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population: Less than High School,% Population: High School Graduate,% Population: Some College,% Population: Bachelor's Degree,% Population: Master's Degree,% Population: Professional School,% Population: Doctorate Degree,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Median Family Income,% Households: No Earnings,% Households: with Wage or Salary Income,% Households: with Self-Employment Income,"% Households: with Interest, Dividends, or Net Rental Income",% Households: with Social Security Income,% Households: with Supplemental Security Income (Ssi),% Households: with Public Assistance Income,% Households: with Retirement Income,% Households: with Other Types of Income,Per Capita Income (In 2016 Inflation Adjusted Dollars),Gini Index,% Occupied Housing Units: Owner Occupied,Median Gross Rent,"% Households: Less than $40,000","% Households: $40,000 to $75,000","% Households: $75,000 to $125,000","% Households: $125,000 and Over",% Workers with Less than 20 Minute Commute,% Workers with 20 to 40 Minute Commute,% Workers with Over 40 Minute Commute,% Workers with No Commute,percent_water
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.629579,45.51206,9,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.634772,45.512069,10,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.63478,45.515017,11,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.634781,45.515744,12,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
2,41051001301,2,890748,8016732,0,1,1,0.725481280900996,0.446271433057558,646221,2,1,0,1,0.27451871909900405,-122.62885631059231,45.51567748530854,0.03171614775058716,-122.634826,45.519310999999995,13,1,112.1,051,001301,1400000US41051001301,13.01,CT,Census Tract 13.01,3950,13733.79,0.287611757274551,3420,33,3,160,0,43,291,86.58,0.84,0.08,4.05,0,1.09,7.37,62,250,716,1217,643,152,50,2.01,8.09,23.17,39.39,20.81,4.92,1.62,2.89,63208,9.13,84.61,20.95,36.78,11.49,3.79,2.25,6.54,6.21,41990,0.4544,39.58,1070,31.879999999999995,23.2,21.5,23.42,33.89,40.59,12.53,12.99,0
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.276616448860032,-122.62872561929987,45.50842169605876,0.024519675882360828,-122.634772,45.512069,1,1,210.1,051,001302,1400000US41051001302,13.02,CT,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33,0
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.276616448860032,-122.62872561929987,45.50842169605876,0.024519675882360828,-122.629579,45.51206,2,1,210.1,051,001302,1400000US41051001302,13.02,CT,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33,0
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.276616448860032,-122.62872561929987,45.50842169605876,0.024519675882360828,-122.62821,45.512057999999996,3,1,210.1,051,001302,1400000US41051001302,13.02,CT,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33,0
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.276616448860032,-122.62872561929987,45.50842169605876,0.024519675882360828,-122.622824,45.512043,4,1,210.1,051,001302,1400000US41051001302,13.02,CT,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33,0
3,41051001302,3,906385,8157465,0,1,1,0.723383551139968,0.44732514917015,655664,2,1,0,1,0.276616448860032,-122.62872561929987,45.50842169605876,0.024519675882360828,-122.622736,45.508775,5,1,210.1,051,001302,1400000US41051001302,13.02,CT,Census Tract 13.02,3240,11070.71,0.29266429033648,2890,13,0,91,18,79,149,89.2,0.4,0,2.81,0.56,2.44,4.6,38,207,606,853,410,200,85,1.58,8.63,25.26,35.56,17.09,8.34,3.54,4.32,86288,7.79,85.98,25.93,33.64,12.54,0,3.5,12.54,6.93,41986,0.3712,69.16,1339,16.35,24.689999999999998,29.67,29.28,27.93,47.61,8.14,16.33,0
