X,Y,Date_Inventoried,Species,Condition,Neighborhood,Family,Genus,Common,Size
-122.6637276895,45.569441281688,2013-10-10,MA,Poor,PIEDMONT,Rosaceae,Malus,crabapple,S
-122.61201526377,45.5366098708146,2016-07-27,AC,Fair,ROSE CITY PARK,Sapindaceae,Acer,"maple, other",M
-122.625482244164,45.5636094505388,2010-11-10,CO,Fair,CONCORDIA,Cornaceae,Cornus,dogwood,S
-122.654024031207,45.5002363767306,2013-07-02,FR,Good,BROOKLYN,Oleaceae,Fraxinus,ash,M
-122.606740360913,45.557855393723,2014-08-20,SY,Fair,CULLY,Oleaceae,Syringa,lilac tree,S
-122.633950359615,45.5660909985294,2010-11-02,UL,Fair,CONCORDIA,Ulmaceae,Ulmuys,elm,L
-122.629644841358,45.5144495010438,2012-07-14,MA,Poor,SUNNYSIDE,Rosaceae,Malus,crabapple,S
-122.520141481136,45.4771076904124,2015-07-23,CO,Fair,POWELLHURST-GILBERT,Cornaceae,Cornus,dogwood,S
-122.676850155203,45.5105400731687,2013-10-08,CR,Good,DOWNTOWN,Rosaceae,Crataegus,hawthorn,S
-122.667887193795,45.5129112064728,2015-09-24,CA,Fair,BUCKMAN,Betulaceae,Carpinus,hornbeam,M
-122.652829624019,45.5517489527569,2015-08-22,CEJA,Fair,SABIN,Cercidiphyllaceae,Cercidiphyllum,katsura,M
-122.522395642544,45.5372213770367,2016-05-18,CH,Fair,RUSSELL,Cupressaceae,Chamaecyparis,false cypress,M
-122.753540515886,45.5906455364371,2011-08-06,PY,Good,ST. JOHNS,Rosaceae,Pyrus,pear,M
-122.641989884353,45.5585015233382,2010-11-02,BE,Fair,CONCORDIA,Betulaceae,Betula,birch,M
-122.652057370217,45.4600013388244,2011-09-10,MA,Good,SELLWOOD-MORELAND,Rosaceae,Malus,crabapple,S
-122.767032559277,45.5405399071515,2016-08-31,ACRU,Fair,NORTHWEST HEIGHTS,Sapindaceae,Acer,"maple, red",M
-122.61014570078,45.5485063171472,2014-10-07,ACPL,Fair,CULLY,Sapindaceae,Acer,"maple, Norway",M
-122.60579377825,45.5373127694447,NA,CEJA,Good,ROSE CITY PARK,Cercidiphyllaceae,Cercidiphyllum,katsura,M
-122.645001704633,45.4674098932573,2011-08-20,ACPL,Good,SELLWOOD-MORELAND,Sapindaceae,Acer,"maple, Norway",M
-122.646810139963,45.4719850575735,2011-08-20,PAPE,Good,SELLWOOD-MORELAND,Hamamelidaceae,Parrotia,Persian ironwood,M
-122.612351680149,45.5437872465452,2016-08-05,ACPL,Fair,ROSE CITY PARK,Sapindaceae,Acer,"maple, Norway",M
-122.552452439212,45.4699416588517,2016-07-14,PRPL,Fair,LENTS,Rosaceae,Prunus,plum,S
-122.658942433152,45.4631967540586,2011-08-04,TI,Fair,SELLWOOD-MORELAND,Malvaceae,Tilia,linden,L
-122.618992389648,45.542622124729,2016-08-03,AE,Fair,GRANT PARK,Sapindaceae,Aesculus,horsechestnut,L
-122.622491748092,45.5533366414077,NA,CO,Fair,BEAUMONT-WILSHIRE,Cornaceae,Cornus,dogwood,S
-122.54627305234,45.5488064474314,2015-08-20,AC,Good,PARKROSE,Sapindaceae,Acer,"maple, other",M
-122.601553233341,45.4822849216358,2015-09-28,IL,Fair,MT. SCOTT-ARLETA,Aquifoliaceae,Ilex,holly,M
-122.692525084971,45.4808745012052,2016-07-08,PSME,Good,HILLSDALE,Pinaceae,Pseudotsuga,Douglas-fir,L
-122.488072122262,45.4930962229822,2014-10-14,CO,Fair,CENTENNIAL,Cornaceae,Cornus,dogwood,S
-122.616056340465,45.5484451288328,NA,GIBI,Fair,BEAUMONT-WILSHIRE,Ginkgoaceae,Ginkgo,ginkgo,L
-122.622652054251,45.5216582593178,2014-07-27,CR,Poor,LAURELHURST,Rosaceae,Crataegus,hawthorn,S
-122.620690584624,45.5309981143285,2014-07-30,ACRU,Fair,LAURELHURST,Sapindaceae,Acer,"maple, red",M
-122.672419895089,45.5028981285588,2016-08-12,ZESE,Fair,SOUTH PORTLAND,Ulmaceae,Zelkova,zelkova,M
-122.645032235675,45.5517918079835,2015-06-27,CEJA,Fair,SABIN,Cercidiphyllaceae,Cercidiphyllum,katsura,M
-122.631600615665,45.5416162475805,2016-09-10,PRCH,Good,GRANT PARK,Rosaceae,Prunus,cherry,S
-122.63701359586901,45.5634393761694,2010-10-09,PI,Good,CONCORDIA,Pinaceae,Pinus,pine,L
-122.674563951788,45.5521969564079,2014-08-06,ACGR,Good,BOISE,Sapindaceae,Acer,"maple, paperbark",S
-122.613792930902,45.5447678709461,2016-08-08,PRCH,Fair,ROSE CITY PARK,Rosaceae,Prunus,cherry,S
-122.707591692697,45.5789185743664,2011-08-18,ACPL,Good,KENTON,Sapindaceae,Acer,"maple, Norway",M
-122.657903521645,45.5003045415891,2013-04-30,FR,Good,BROOKLYN,Oleaceae,Fraxinus,ash,M
-122.720979381496,45.5878123337574,2013-09-10,CO,Fair,PORTSMOUTH,Cornaceae,Cornus,dogwood,S
-122.652931533396,45.4656373728254,2011-09-10,PY,Good,SELLWOOD-MORELAND,Rosaceae,Pyrus,pear,M
-122.671757212395,45.5213763625444,2015-07-18,ACRU,Fair,OLD TOWN/CHINATOWN,Sapindaceae,Acer,"maple, red",M
-122.622771486166,45.5464641689817,NA,ACPL,Good,BEAUMONT-WILSHIRE,Sapindaceae,Acer,"maple, Norway",M
-122.602189738229,45.50376919495,2014-07-19,ACPL,Fair,SOUTH TABOR,Sapindaceae,Acer,"maple, Norway",M
-122.751247681108,45.6334968151641,2014-08-18,ACRU,Good,ST. JOHNS,Sapindaceae,Acer,"maple, red",M
-122.660634120732,45.5184787075658,2015-08-29,ACRU,Fair,BUCKMAN,Sapindaceae,Acer,"maple, red",M
-122.653791714298,45.5374154612194,2015-08-15,CH,Fair,IRVINGTON,Cupressaceae,Chamaecyparis,false cypress,M
-122.627476029784,45.5551591411503,NA,STJA,Good,BEAUMONT-WILSHIRE,Styracaceae,Styrax,snowbell,S
-122.62148272533,45.5546372103219,2016-08-20,CO,Fair,BEAUMONT-WILSHIRE,Cornaceae,Cornus,dogwood,S
-122.634124056062,45.5221798178714,2014-06-05,ACSA,Good,KERNS,Sapindaceae,Acer,"maple, silver",L
-122.614614623486,45.4987062790041,2013-09-07,THAR,Good,RICHMOND,Cupressaceae,Thuja,arborvitae,S
-122.763334990261,45.5951647519072,2013-08-16,LIST,Fair,CATHEDRAL PARK,Altingiaceae,Liquidambar,sweetgum,M
-122.589093504231,45.5443847014917,2015-07-02,FR,Poor,ROSEWAY,Oleaceae,Fraxinus,ash,M
