PID,X,Y
579,-122.45960375649335,45.485224666488115
580,-122.43656480863832,45.48391611587884
581,-122.44417317730371,45.526143088572375
582,-122.47817217117274,45.56549924656895
583,-122.33566160203888,45.48564464119338
584,-122.38984452822116,45.50232963640184
585,-122.08524436490426,45.52766115227178
586,-122.70605634772774,45.560433397348255
629,-122.64221034730384,45.50845584790015
630,-122.63781575489746,45.52521893821851
631,-122.64088282447192,45.5693293728254
632,-122.73070548104756,45.576596736096825
636,-122.68708543666973,45.47507333234973
637,-122.72101327455239,45.44740606505949
638,-122.7074202834932,45.471081950731104
639,-122.54282676430958,45.49692393961271
640,-122.50306597657966,45.52625148438077
641,-122.41008176805673,45.530050903538566
642,-122.67612877777997,45.5186915041105
666,-122.65606315828012,45.508604452740364
677,-122.52935481494093,45.51327842809128
690,-122.65258398736214,45.543717014718396
691,-122.6053196878696,45.533902550212
692,-122.38546703494636,45.476090952939714
700,-122.73097337464615,45.50817790164602
701,-122.42410552237386,45.534439704579356
724,-122.60745071235827,45.51998299304569
725,-122.74385242425429,45.586978559841036
726,-122.68396465298598,45.512133130967094
727,-122.70059685309101,45.48512049713432
728,-122.70080239695966,45.62378875411115
729,-122.5169189401397,45.4703162679635
730,-122.48611976953114,45.5118443500491
746,-122.56664714077971,45.484785097550315
747,-122.60483538872656,45.526301576170795
748,-122.61647261921614,45.54348138360998
763,-122.7031216983894,45.53085294326702
764,-122.71935113744239,45.6120670700922
765,-122.56057295190779,45.46745610442356
766,-122.52811174372893,45.55080059919875
785,-122.39196887236582,45.52664531643142
789,-122.55834762050456,45.51189831566189
798,-122.68850865415271,45.464919989122926
800,-122.60769471288565,45.56582981724853
801,-122.4046359081417,45.48519792437621
805,-122.5849437517808,45.483700351378715
807,-122.5158670416467,45.51328770180278
808,-122.6108911168081,45.50135818485831
809,-122.66859402239922,45.551404193289564
812,-122.62543317432396,45.56778238376052
817,-122.64216783920679,45.51571007797147
824,-122.58910830448117,45.50138929006164
825,-122.53069926606925,45.49262081370952
