OBJECTID,FIPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,sumOverCount
80,41051006900,80,3552652,31973868,0,1,1,0.37226218610773,0.483407748078187,1322518,2,0,1,0,0.37226218610773
81,41051007e3,81,18149746,163347714,0,1,1,0.207648084992484,0.405623418692065,3768760,2,0,1,0,0.207648084992484
82,41051007201,82,6380127,57421143,0,1,1,0.939534745938443,0.238346821067176,5994351,2,1,0,1,0.939534745938443
83,41051008600,83,1495784,13462056,0,1,1,0.818375514111663,0.385534735159018,1224113,2,1,0,1,0.818375514111663
84,41051008902,84,3220320,28982880,0,1,1,0.692359765489144,0.46151676093178,2229620,2,1,0,1,0.692359765489144
85,41051008901,85,9502366,85521294,0,1,1,0.465054808455073,0.498777338687203,4419121,2,0,1,0,0.465054808455073
86,41051009201,86,3190739,28716651,0,1,1,0.785987196069625,0.410135738121215,2507880,2,1,0,1,0.785987196069625
87,41051008301,87,1939336,17454024,0,1,1,0.825280405252107,0.379727083520553,1600496,2,1,0,1,0.825280405252107
88,41051008302,88,2677241,24095169,0,1,1,0.689941622737736,0.462517221248848,1847140,2,1,0,1,0.689941622737736
89,41051008400,89,1551135,13960215,0,1,1,0.763170839417588,0.425136577208128,1183781,2,1,0,1,0.763170839417588
90,41051008500,90,2627347,23646123,0,1,1,0.763462534640457,0.424955871639428,2005881,2,1,0,1,0.763462534640457
91,41051008700,91,2008709,18078381,0,1,1,0.766664061344874,0.42295422729541,1540005,2,1,0,1,0.766664061344874
92,41051009e3,92,3344518,30100662,0,1,1,0.767316247064599,0.422542334039204,2566303,2,1,0,1,0.767316247064599
93,41051009102,93,6014430,54129870,0,1,1,0.578323132865459,0.493827385690729,3478284,2,1,0,1,0.578323132865459
94,41051009202,94,1944249,17498241,0,1,1,0.767705679673745,0.422295712825051,1492611,2,1,0,1,0.767705679673745
95,41051009302,95,3260233,29342097,0,1,1,0.753418544012038,0.431020929365174,2456320,2,1,0,1,0.753418544012038
96,41051009803,96,308824,2779416,0,1,1,0.770840349195658,0.4202921665313,238054,2,1,0,1,0.770840349195658
97,41051009903,97,295206,2656854,0,1,1,0.851097199921411,0.355992635046492,251249,2,1,0,1,0.851097199921411
98,41051010200,98,6219610,55976490,0,1,1,0.824403780944464,0.380476263266102,5127470,2,1,0,1,0.824403780944464
99,41051009400,99,4493918,40445262,0,1,1,0.807917055896436,0.393937922378731,3630713,2,1,0,1,0.807917055896436
100,41051009501,100,2238662,20147958,0,1,1,0.796239450171576,0.402792984251268,1782511,2,1,0,1,0.796239450171576
101,41051009701,101,2176675,19590075,0,1,1,0.813662122273651,0.389379086560628,1771078,2,1,0,1,0.813662122273651
102,41051007100,102,282116,2539044,0,1,1,0.537697259283415,0.498576891404444,151693,2,1,0,1,0.537697259283415
103,41051009301,103,1866049,16794441,0,1,1,0.720409807030791,0.448797857575824,1344320,2,1,0,1,0.720409807030791
104,41051006001,104,2173561,19562049,0,1,1,0.258482738694704,0.437800653827275,561828,2,0,1,0,0.258482738694704
105,41051006601,105,1882938,16946442,0,1,1,0.514300523968394,0.499795453174826,968396,2,1,0,1,0.514300523968394
106,41051006002,106,1589299,14303691,0,1,1,0.561002681056239,0.496264720591693,891601,2,1,0,1,0.561002681056239
107,41051006100,107,1949509,17545581,0,1,1,0.503653996980778,0.499986648127792,981878,2,1,0,1,0.503653996980778
108,41051006200,108,2118774,19068966,0,1,1,0.581717540426681,0.493277045468988,1232528,2,1,0,1,0.581717540426681
109,41051006501,109,4337013,39033117,0,1,1,0.503287631372099,0.499989191363135,2182765,2,1,0,1,0.503287631372099
110,41051006502,110,2279980,20519820,0,1,1,0.628287090237634,0.483262270903038,1432482,2,1,0,1,0.628287090237634
111,41051006602,111,3031926,27287334,0,1,1,0.652904127607336,0.476046560496596,1979557,2,1,0,1,0.652904127607336
112,41051006701,112,2214551,19930959,0,1,1,0.594966654640151,0.490898497152373,1317584,2,1,0,1,0.594966654640151
113,41051006702,113,1658095,14922855,0,1,1,0.56592897270663,0.495634311320199,938364,2,1,0,1,0.56592897270663
114,41051007202,114,39750303,357752727,0,1,1,0.859509196697193,0.347495521539687,34165751,2,1,0,1,0.859509196697193
115,41051002903,115,3474798,31273182,0,1,1,0.621965363166434,0.48489632931966,2161204,2,1,0,1,0.621965363166434
116,41051007800,116,829163,7462467,0,1,1,0.804092802018421,0.396897427253674,666724,2,1,0,1,0.804092802018421
117,41051008800,117,1960340,17643060,0,1,1,0.752671475356316,0.431459297664638,1475492,2,1,0,1,0.752671475356316
118,41051009502,118,1961084,17649756,0,1,1,0.879979643911225,0.324985338458674,1725714,2,1,0,1,0.879979643911225
119,41051004300,119,32747060,294723540,0,1,1,0.414994536914154,0.492721088695786,13589851,2,0,1,0,0.414994536914154
120,41051000200,120,2848595,25637355,0,1,1,0.789910815682819,0.407371720852249,2250136,2,1,0,1,0.789910815682819
121,41051000301,121,2784315,25058835,0,1,1,0.707985626626298,0.454688881672805,1971255,2,1,0,1,0.707985626626298
122,41051010600,122,1460781,13147029,0,1,1,0.883135802012759,0.321258396335473,1290068,2,1,0,1,0.883135802012759
123,41051002303,123,2620042,23580378,0,1,1,0.895175344517378,0.306327352819776,2345397,2,1,0,1,0.895175344517378
